taluk,taluk_tamil,district,pincode_count
Tirunelveli,திருநெல்வேலி,Tirunelveli,7
Tiruvadanai,திருவாடானை,Ramanathapuram,7
Uthiramerur,உத்திரமேரூர்,Kancheepuram,7
Vadipatti,வாடிப்பட்டி,Madurai,7
Veppanthattai,வேப்பந்தட்டை,Perambalur,7
Vilathikulam,விளாத்திகுளம்,Thoothukkudi,7
Virudhunagar,விருதுநகர்,Virudhunagar,7
Aminjikarai,அமிஞ்சிக்கரை,Chennai,6
Arakonam,அரக்கோணம்,Ranipet,6
Aravakurichi,அரவக்குறிச்சி,Karur,6
Athoor,ஆத்தூர்,Dindigul,6
Cheyyur,செய்யூர்,Chengalpattu,6
Chidambaram,சிதம்பரம்,Cuddalore,6
Dindiguleast,திண்டுக்கல் கிழக்கு,Dindigul,6
Dindigulwest,திண்டுக்கல்மேற்கு,Dindigul,6
Guindy,கிண்டி,Chennai,6
Kalaiyarkoil,காளையார்கோயில்,Sivaganga,6
Kallakkurichi,கள்ளக்குறிச்சி,Kallakurichi,6
Kamuthi,கமுதி,Ramanathapuram,6
Karur,கரூர்,Karur,6
Kattumannarkoil,காட்டுமன்னார்கோயில்,Cuddalore,6
Kayathar,கயத்தார்,Thoothukkudi,6
Kudavasal,குடவாசல்,Thiruvarur,6
Kundrathur,குன்றத்தூர்,Kancheepuram,6
Kurinjipadi,குறிஞ்சிப்பாடி,Cuddalore,6
Madukkari,மதுக்கரை,Coimbatore,6
Madurai East,மதுரை கிழக்கு,Madurai,6
Madurai North,மதுரை வடக்கு,Madurai,6
Manachanallur,மணச்சநல்லூர்,Tiruchirappalli,6
Manapparai,மணப்பாறை,Tiruchirappalli,6
Muthupettai,முத்துப்பேட்டை,Thiruvarur,6
Namakkal,நாமக்கல்,Namakkal,6
Nemili,நெமிலி,Ranipet,6
Orathanadu,ஒரத்தநாடு,Thanjavur,6
Palladam,பல்லடம்,Tiruppur,6
Paramakudi,பரமக்குடி,Ramanathapuram,6
Peraiyur,பேரையூர்,Madurai,6
Perambalur,பெரம்பலூர்,Perambalur,6
Periyakulam,பெரியகுளம்,Theni,6
Perur,பேரூர்,Coimbatore,6
Ponnamaravathi,பொன்னமராவதி,Pudukkottai,6
Sankarankoil,சங்கரன்கோவில்,Tenkasi,6
Shenkottai,செங்கோட்டை,Tenkasi,6
Sivakasi,சிவகாசி,Virudhunagar,6
Ulundurpettai,உளுந்தூர்பேட்டை,Kallakurichi,6
Vanur,வானூர்,Viluppuram,6
Vazhapadi,வாழப்பாடி,Salem,6
Alandur,ஆலந்தூர்,Chennai,5
Alangulam,ஆலங்குளம்,Tenkasi,5
Ambasamudram,அம்பாசமுத்திரம்,Tirunelveli,5
Ambattur,அம்பத்தூர்,Chennai,5
Andimadam,ஆண்டிமடம்,Ariyalur,5
Andipatti,ஆண்டிபட்டி,Theni,5
Anthiyur,அந்தியூர்,Erode,5
Attur,ஆத்தூர்,Salem,5
Avadi,ஆவடி,Thiruvallur,5
Avinashi,அவிநாசி,Tiruppur,5
Bhavani,பவானி,Erode,5
Budalur,புடலூர்,Thanjavur,5
Chetpet,சேட்பேட்,Tiruvannamalai,5
Cheyyar,செய்யார்,Tiruvannamalai,5
Denkanikottai,தேன்கனிக்கோட்டை,Krishnagiri,5
Harur,ஹரூர்,Dharmapuri,5
Hosur,ஓசூர்,Krishnagiri,5
K V Kuppam,கே வி குப்பம்,Vellore,5
Kancheepuram,காஞ்சிபுரம்,Kancheepuram,5
Kandachipuram,கண்டாச்சிபுரம்,Viluppuram,5
Kulithalai,குளித்தலை,Karur,5
Kumarapalayam,குமாரபாளையம்,Namakkal,5
Maduravoyal,மதுரவாயல்,Chennai,5
Mambalam,மாம்பலம்,Chennai,5
Needamangalam,நீடாமங்கலம்,Thiruvarur,5
Pallavaram,பல்லாவரம்,Chengalpattu,5
Pappireddipatti,பாப்பிரெட்டிப்பட்டி,Dharmapuri,5
Polur,போளூர்,Tiruvannamalai,5
Pudukkottai,புதுக்கோட்டை,Pudukkottai,5
Sankari,சங்கரி,Salem,5
Sathyamangalam,சத்தியமங்கலம்,Erode,5
Sendamangalam,சேந்தமங்கலம்,Namakkal,5
Sendurai,செந்துறை,Ariyalur,5
Sholinghur,சோளிங்கர்,Ranipet,5
Sriperumbudur,ஸ்ரீபெரும்புதூர்,Kancheepuram,5
Srivilliputhur,ஸ்ரீவில்லிபுத்தூர்,Virudhunagar,5
Thirupparankundram,திருப்பரங்குன்றம்,Madurai,5
Thiruthuraipoondi,திருத்துறைப்பூண்டி,Thiruvarur,5
Thiruvattar,திருவட்டார்,Kanniyakumari,5
Thovala,தோவாலா,Kanniyakumari,5
Tiruporur,திருப்போரூர்,Chengalpattu,5
Tittakudi,திட்டக்குடி,Cuddalore,5
Usilampatti,உசிலம்பட்டி,Madurai,5
Valangaiman,வலங்கைமான்,Thiruvarur,5
Vanapuram,வாணாபுரம்,Kallakurichi,5
Vandalur,வண்டலூர்,Chengalpattu,5
Vedasandur,வேடசந்தூர்,Dindigul,5
Watrap,வாட்ராப்,Virudhunagar,5
Alangudi,ஆலங்குடி,Pudukkottai,4
Aranthangi,அறந்தாங்கி,Pudukkottai,4
Arcot,ஆற்காடு,Ranipet,4
Avudayarkoil,ஆவுடையார்கோயில்,Pudukkottai,4
Bhuvanagiri,புவனகிரி,Cuddalore,4
Coimbatore South,கோவை தெற்கு,Coimbatore,4
Dharmapuri,தருமபுரி,Dharmapuri,4
Gangavalli,கங்கவல்லி,Salem,4
Iluppur,இலுப்பூர்,Pudukkottai,4
Kadaladi,கடலாடி,Ramanathapuram,4
Kalasapakkam,கலசப்பாக்கம்,Tiruvannamalai,4
Kalavai,கலவாய்,Ranipet,4
Kariapatti,காரியாபட்டி,Virudhunagar,4
Kilakarai,கிலக்கரை,Ramanathapuram,4
Kilpennathur,கீழ்பென்னாத்தூர்,Tiruvannamalai,4
Kodaikanal,கொடைக்கானல்,Dindigul,4
Kodumudi,கொடுமுடி,Erode,4
Krishnarayapuram,கிருஷ்ணராயபுரம்,Karur,4
Kulathur,குளத்தூர்,Pudukkottai,4
Kunnam,குன்னம்,Perambalur,4
Madathukulam,மடத்துக்குளம்,Tiruppur,4
Manamelkudi,மணமேல்குடி,Pudukkottai,4
Manmangalam,மண்மங்கலம்,Karur,4
Mettupalayam,மேட்டுப்பாளையம்,Coimbatore,4
Modakkurichi,மொடக்குறிச்சி,Erode,4
Nambiyur,நம்பியூர்,Erode,4
Natrampalli,நாட்றம்பள்ளி,Tirupathur,4
Palakkodu,பாலக்கோடு,Dharmapuri,4
Peravurani,பேராவூரணி,Thanjavur,4
Pethanaickanpalayam,பெத்தநாயக்கன்பாளையம்,Salem,4
Pochampalli,போச்சம்பள்ளி,Krishnagiri,4
Pugalur,புகளூர்,Karur,4
R K Pet,ஆர் கே பெட்,Thiruvallur,4
Rajasingamangalam,ராஜசிங்கமங்கலம்,Ramanathapuram,4
Salem South,சேலம் தெற்கு,Salem,4
Salem West,சேலம் மேற்கு,Salem,4
Sattur,சாத்தூர்,Virudhunagar,4
Shoolagiri,சூளகிரி,Krishnagiri,4
Singampunari,சிங்கம்புணரி,Sivaganga,4
Sivagiri,சிவகிரி,Tenkasi,4
Thalaivasal,தலைவாசல்,Salem,4
Thandrampet,தண்டராம்பட்டு,Tiruvannamalai,4
Theni,தேனி,Theni,4
Thirukkuvalai,திருக்குவளை,Nagapattinam,4
Thiruvennainallur,திருவெண்ணைநல்லூர்,Viluppuram,4
Thottiyam,தொட்டியம்,Tiruchirappalli,4
Tirukalukundram,திருக்கழுகுன்றம்,Chengalpattu,4
Tirukkoyilur,திருக்கோயிலூர்,Kallakurichi,4
Uthangarai,ஊத்தங்கரை,Krishnagiri,4
Uthukuli,ஊத்துக்குளி,Tiruppur,4
Vaniyambadi,வாணியம்பாடி,Tirupathur,4
Vembakkam,வெம்பாக்கம்,Tiruvannamalai,4
Vembakottai,வெம்பக்கோட்டை,Virudhunagar,4
Wallajah,வாலாஜா,Ranipet,4
Alathur,ஆலத்தூர்,Perambalur,3
Bargur,பர்கூர்,Krishnagiri,3
Bodinayakanur,போடிநாயக்கனூர்,Theni,3
Chinnasalem,சின்னசேலம்,Kallakurichi,3
Gujiliamparai,குஜிலியம்பாறை,Dindigul,3
Gummidipoondi,கும்மிடிப்பூண்டி,Thiruvallur,3
Ilayangudi,இளையாங்குடி,Sivaganga,3
Kadavur,கடவூர்,Karur,3
Kadayampatti,காடையாம்பட்டி,Salem,3
Karimangalam,காரிமங்கலம்,Dharmapuri,3
Kinathukadavu,கிணத்துக்கடவு,Coimbatore,3
Kotagiri,கோத்தகிரி,The Nilgiris,3
Kovilpatti,கோவில்பட்டி,Thoothukkudi,3
Madurai West,மதுரை மேற்கு,Madurai,3
Manamadurai,மானாமதுரை,Sivaganga,3
Marungapuri,மருங்காபுரி,Tiruchirappalli,3
Mathavaram,மாதவரம்,Chennai,3
Melmalaiyanur,மேல்மலையனூர்,Viluppuram,3
Mohanur,மோகனூர்,Namakkal,3
Mudukulathur,முதுகுளத்தூர்,Ramanathapuram,3
Mylapore,மயிலாப்பூர்,Chennai,3
Nallampalli,நல்லம்பள்ளி,Dharmapuri,3
Natham,நத்தம்,Dindigul,3
Pallipattu,பள்ளிப்பட்டு,Thiruvallur,3
Pennagaram,பென்னாகரம்,Dharmapuri,3
Sankarapuram,சங்கராபுரம்,Kallakurichi,3
Srimushnam,ஸ்ரீமுஷ்ணம்,Cuddalore,3
Thirumangalam,திருமங்கலம்,Madurai,3
Thiruppuvanam,திருப்புவனம்,Sivaganga,3
Tiruchirappalli East,திருச்சிராப்பள்ளி கிழக்கு,Tiruchirappalli,3
Tiruchuli,திருச்சுழி,Virudhunagar,3
Tiruppurnorth,திருப்பூர்நாடு,Tiruppur,3
Tiruppursouth,திருப்பூர்சவுத்,Tiruppur,3
Uthukkottai,ஊத்துக்கோட்டை,Thiruvallur,3
Veerakeralamputhur,வீரகேரளம்புதூர்,Tenkasi,3
Velachery,வேளச்சேரி,Chennai,3
Veppur,வேப்பூர்,Cuddalore,3
Walajabad,வாலாஜாபாத்,Kancheepuram,3
Yercaud,ஏற்காடு,Salem,3
Coonoor,குன்னூர்,The Nilgiris,2
Edappadi,எடப்பாடி,Salem,2
Egmore,எழும்பூர்,Chennai,2
Ettayapuram,எட்டயபுரம்,Thoothukkudi,2
Kalligudi,கல்லிகுடி,Madurai,2
Kolli Hills,கொல்லிமலை,Namakkal,2
Madurai South,மதுரை தெற்கு,Madurai,2
Manur,மானூர்,Tirunelveli,2
Marakanam,மரக்காணம்,Viluppuram,2
Perambur,பெரம்பூர்,Chennai,2
Pernambut,பெர்னாம்புட்,Vellore,2
Purasawalkam,புரசவல்கம்,Chennai,2
Rameswaram,ராமேஸ்வரம்,Ramanathapuram,2
Tiruchirappalli West,திருச்சிராப்பள்ளி மேற்கு,Tiruchirappalli,2
Tiruvengadam,திருவேங்கடம்,Tenkasi,2
Tiruvottiyur,திருவொற்றியூர்,Chennai,2
Anchetty,அஞ்செட்டி,Krishnagiri,1
Ayanavaram,அயனாவரம்,Chennai,1
Gandarvakkottai,கந்தர்வக்கோட்டை,Pudukkottai,1
Gudalur,கூடலூர்,The Nilgiris,1
Jamunamarathoor,ஜமுனாமரத்தூர்,Tiruvannamalai,1
Kalvarayan Hills,கல்வராயன் மலைகள்,Kallakurichi,1
Karambakudi,கறம்பக்குடி,Pudukkottai,1
Kolathur,கொளத்தூர்,Chennai,1
Kundah,குந்தா,The Nilgiris,1
Panthalur,பந்தலூர்,The Nilgiris,1
Thalavadi,தாளவாடி,Erode,1
Thiruvonam,திருவோணம்,Thanjavur,1
Tondiarpet,தொண்டியார்பேட்டை,Chennai,1
Udhagamandalam,உதகமண்டலம்,The Nilgiris,1
Valparai,வால்பாறை,Coimbatore,1
Viralimalai,விராலிமலை,Pudukkottai,1
